area,1801,1811,1821,1831,1841,1851,1861,1871,1881,1891,1901,1911,1921,1931,1939,1951,1961,1971,1981,1991,2001,2011,2021
City of London,129000,121000,125000,123000,124000,128000,112000,75000,51000,38000,27000,20000,14000,10999,9000,5324,4767,4246,4701,4142,7181,7375,8583
Barking & Dagenham,3000,4000,5000,6000,7000,8000,8000,10000,13000,19000,27000,39000,44000,138000,184000,189430,177092,160798,148979,143681,163944,185911,218869
Barnet,8000,9000,11000,13000,14000,15000,20000,29000,41000,58000,76000,118000,147000,231081,296000,320438,318373,306561,290197,293564,314565,356386,389344
Bexley,5000,6000,7000,9000,11000,12000,15000,22000,29000,37000,54000,60000,76000,95000,179000,205400,209893,217076,214355,215615,218301,231997,246472
Brent,2000,2000,3000,3000,5000,5000,6000,19000,31000,65000,120000,166000,184000,250824,310000,311081,295893,280660,251238,243025,263466,311215,339816
Bromley,8000,9000,11000,12000,14000,16000,22000,42000,62000,83000,100000,116000,127000,165000,237000,267771,294440,305373,294526,290609,295535,309392,329991
Camden,100000,128000,163000,199000,229000,270000,307000,342000,357000,370000,377000,353000,341000,325940,301000,258318,245707,206739,161098,170444,198022,220338,210136
Croydon,8000,10000,12000,15000,20000,23000,33000,60000,85000,110000,143000,190000,213000,272903,297000,310433,327427,333868,316306,313510,330584,363378,390719
Ealing,7000,8000,9000,11000,13000,14000,20000,31000,47000,63000,95000,165000,181000,225618,285000,310690,301646,301111,278677,275257,300943,338449,367115
Enfield,11000,13000,16000,17000,18000,19000,23000,30000,42000,68000,105000,155000,167000,201473,272000,288112,273857,268000,257154,257417,273565,312466,329984
Greenwich,35000,46000,50000,56000,70000,90000,125000,123000,139000,175000,210000,213000,237000,244000,243000,235549,229810,217663,209873,207650,214402,254557,289068
Hackney,50000,64000,80000,105000,128000,170000,218000,261000,329000,372000,389000,385000,379000,363583,332000,265349,257522,220280,179529,181248,202825,246270,259146
Hammersmith & Fulham,10000,13000,15000,18000,23000,30000,40000,66000,115000,189000,250000,275000,288000,286451,259000,241431,222124,187196,144616,148502,165238,182493,183157
Haringey,6000,7000,9000,10000,13000,14000,21000,37000,73000,142000,209000,271000,285000,307391,292000,277316,259156,240075,202650,202204,216505,254926,264238
Harrow,4000,5000,5000,7000,7000,8000,9000,11000,13000,15000,24000,42000,49000,96656,190000,219494,209080,203215,196159,200100,206822,239056,261203
Havering,6000,7000,8000,9000,11000,11000,12000,15000,16000,20000,26000,33000,38000,77229,139000,192094,245598,247696,239788,229492,224262,237232,262052
Hillingdon,9000,11000,12000,14000,17000,18000,20000,21000,23000,25000,29000,38000,48000,83957,159000,210312,228370,234887,226263,231602,243006,273936,305909
Hounslow,14000,16000,19000,22000,25000,27000,32000,41000,55000,68000,85000,109000,117000,155537,196000,211075,208893,206957,198938,204397,212352,253957,288181
Islington,65000,83000,108000,137000,168000,220000,283000,337000,401000,429000,436000,415000,407000,391683,343000,271002,261232,201875,157522,164686,175789,206125,216589
Kensington & Chelsea,18000,25000,35000,46000,58000,88000,120000,177000,234000,243000,250000,239000,240000,239708,228000,219117,218528,188226,125892,138394,158921,158649,143375
Kingston upon Thames,5000,5000,6000,8000,10000,12000,18000,27000,36000,45000,56000,68000,74000,93353,129000,146615,146010,140527,131236,132996,147271,160060,168063
Lambeth,33000,49000,67000,99000,129000,155000,182000,236000,293000,333000,384000,408000,419000,421000,391000,346964,341626,307514,244143,244834,266170,303086,317654
Lewisham,16000,20000,24000,26000,34000,44000,67000,101000,145000,191000,238000,270000,287000,326844,325000,303071,290582,268474,230488,230983,248917,275885,300553
Merton,5000,6000,7000,7000,8000,8000,11000,17000,28000,41000,62000,99000,114000,157614,197000,200140,189013,177324,165102,168470,187919,199693,215187
Newham,8000,10000,12000,14000,15000,22000,43000,70000,142000,240000,366000,427000,448000,440000,381000,294017,265388,237392,209128,212170,243884,307984,351036
Redbridge,4000,5000,6000,7000,7000,7000,9000,12000,18000,31000,66000,113000,124000,179000,232000,256902,250080,239888,224731,226218,238623,278970,310260
Richmond upon Thames,15000,17000,20000,22000,25000,28000,34000,48000,61000,77000,95000,124000,141000,161015,178000,188100,181052,174631,157304,160732,172330,186990,195278
Southwark,116000,139000,175000,207000,243000,292000,346000,407000,514000,572000,596000,579000,571000,534531,456000,337638,313413,262135,209735,218541,244867,288283,307637
Sutton,5000,5000,6000,7000,8000,8000,11000,16000,24000,30000,38000,54000,60000,103277,167000,176151,169095,169493,167547,168880,179767,190146,209639
Tower Hamlets,144000,180000,219000,263000,310000,377000,442000,512000,566000,581000,597000,570000,529000,488521,419000,230790,205682,165777,139996,161064,196083,254096,310306
Waltham Forest,8000,9000,11000,11000,12000,13000,17000,28000,54000,112000,198000,258000,267000,283361,286000,275468,248591,234682,214595,212033,218335,258249,278425
Wandsworth,13000,16000,19000,23000,28000,36000,52000,99000,173000,251000,319000,369000,380000,388000,358000,330883,335451,302256,252240,252425,260379,306995,327506
Westminster,231000,254000,298000,354000,402000,462000,512000,524000,513000,481000,460000,421000,390000,372129,347000,300332,271703,239748,163892,174814,181284,219396,204236
Westminster/Hackney/City of London,410000,439000,503000,582000,654000,760000,842000,860000,893000,891000,876000,826000,783000,746711,688000,571005,533992,464274,348122,360204,391290,473041,471965
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
